post_id,rating,source_url,artist_tags,copyright_tags,character_tags,general_tags,meta_tags,url
8002115,Questionable,https://twitter.com/SunsetSkyline1/status/1823775532363997628,['sunset_skyline'],"['hololive', 'hololive_english']","['cecilia_immergreen', 'gigi_murin']","['1boy', '2girls', 'ahoge', 'bisexual_female', 'breasts', 'covered_eyes', 'doll_joints', 'french_kiss', 'holojustice', 'joints', 'kiss', 'licking', 'licking_nipple', 'monochrome', 'multicolored_hair', 'multiple_girls', 'nipple_stimulation', 'nipples', 'open_mouth', 'saliva', 'saliva_drip', 'short_hair', 'small_breasts', 'streaked_hair', 'teeth', 'tongue', 'tongue_out', 'two-tone_hair', 'virtual_youtuber']",[],https://danbooru.donmai.us/posts/8002115?q=hololive+-holostars
7997282,General,https://twitter.com/k0k0midess/status/1823419245260100061,['kokomi_(aniesuakkaman)'],"['hololive', 'hololive_english']","['ceres_fauna', 'ceres_fauna_(goth)', 'smol_fauna']","['1girl', 'antlers', 'black_nails', 'black_ribbon', 'black_shirt', 'blush', 'character_doll', 'choker', 'green_hair', 'hair_ribbon', 'heart', 'heart_choker', 'horns', 'looking_at_viewer', 'mole', 'mole_under_eye', 'nail_polish', 'o-ring', 'o-ring_choker', 'official_alternate_costume', 'ribbon', 'shirt', 'smile', 'solo', 'tongue', 'tongue_out', 'virtual_youtuber', 'yellow_eyes']","['highres', 'absurdres']",https://danbooru.donmai.us/posts/7997282?q=hololive+-holostars
7993175,Sensitive,https://twitter.com/arkheystudio/status/1823059249108562344,['ar-khey'],"['hololive', 'hololive_english']",['ceres_fauna'],"['1girl', 'alternate_costume', 'antlers', 'breasts', 'cleavage', 'dress', 'earrings', 'flower', 'grass', 'green_hair', 'green_nails', 'hair_flower', 'hair_ornament', 'hair_over_one_eye', 'horns', 'jewelry', 'large_breasts', 'leaf', 'looking_at_viewer', 'medium_hair', 'mole', 'mole_under_eye', 'nail_polish', 'open_mouth', 'smile', 'solo', 'thigh_strap', 'tree', 'virtual_youtuber', 'white_dress', 'yellow_eyes']","['commission', 'highres']",https://danbooru.donmai.us/posts/7993175?q=hololive+-holostars
7984909,Sensitive,https://www.pixiv.net/artworks/121392511,['hintobento'],"['hololive', 'hololive_english']",['ceres_fauna'],"['1girl', 'bikini', 'breasts', 'cleavage', 'cloud', 'cloudy_sky', 'cowboy_shot', 'earrings', 'fishnet_gloves', 'fishnets', 'from_below', 'gloves', 'green_hair', 'hair_between_eyes', 'hair_over_one_eye', 'horns', 'jewelry', 'large_breasts', 'lightning', 'looking_at_viewer', 'lying', 'navel', 'on_stomach', 'outdoors', 'parted_lips', 'short_hair', 'sidelocks', 'sky', 'smile', 'solo', 'standing', 'swimsuit', 'thighs', 'water', 'yellow_eyes']",['highres'],https://danbooru.donmai.us/posts/7984909?q=hololive+-holostars
7992630,Sensitive,https://www.pixiv.net/artworks/121263366,['lendivere'],"['hololive', 'hololive_english']",['ceres_fauna'],"['1girl', 'algae', 'alternate_costume', 'antlers', 'arm_behind_head', 'armpits', 'bandeau', 'bikini', 'black_gloves', 'braid', 'braided_bangs', 'branch', 'breasts', 'character_name', 'eyes_visible_through_hair', 'fingerless_gloves', 'flower', 'frilled_bikini', 'frills', 'front-tie_bikini_top', 'front-tie_top', 'gloves', 'gradient_hair', 'green_bandeau', 'green_bikini', 'green_hair', 'green_nails', 'hair_bun', 'hair_flower', 'hair_ornament', 'hair_over_one_eye', 'horns', 'large_breasts', 'long_hair', 'looking_at_viewer', 'mole', 'mole_under_eye', 'multicolored_hair', 'navel', 'parted_lips', 'presenting_armpit', 'simple_background', 'single_side_bun', 'skindentation', 'solo', 'stomach', 'swimsuit', 'thigh_strap', 'thighs', 'tree_horns', 'twitter_username', 'underboob', 'virtual_youtuber', 'white_background', 'yellow_eyes']",['highres'],https://danbooru.donmai.us/posts/7992630?q=hololive+-holostars
7996163,Sensitive,https://twitter.com/The0neulost/status/1801348060573798527,['the0neulost'],"['hololive', 'hololive_english']",['ceres_fauna'],"['1girl', 'antlers', 'armpit_crease', 'big_belly', 'black_jacket', 'blue_shorts', 'breasts', 'brown_eyes', 'cleavage', 'closed_mouth', 'crop_top', 'deer_antlers', 'eyebrows_hidden_by_hair', 'flower', 'green_hair', 'hair_between_eyes', 'hair_flower', 'hair_ornament', 'hair_over_one_eye', 'heart', 'horns', 'jacket', 'large_breasts', 'long_hair', 'looking_at_viewer', 'navel', 'pregnant', 'shirt', 'short_shorts', 'shorts', 'simple_background', 'sitting', 'smile', 'solo', 'very_long_hair', 'virtual_youtuber', 'white_shirt']","['highres', 'absurdres']",https://danbooru.donmai.us/posts/7996163?q=hololive+-holostars
7983733,Explicit,https://twitter.com/brikotforsberg/status/1822456074898727085,['brikot'],"['hololive', 'hololive_english']",['elizabeth_rose_bloodflame'],"['1girl', 'against_fourth_wall', 'against_glass', 'anus', 'ass', 'ass_focus', 'ass_on_glass', 'ass_press', 'blue_fire', 'breasts', 'fire', 'huge_ass', 'long_hair', 'looking_at_viewer', 'multicolored_hair', 'puckered_anus', 'pussy', 'red_eyes', 'red_hair', 'smug', 'uncensored', 'virtual_youtuber']","['english_commentary', 'highres', 'absurdres']",https://danbooru.donmai.us/posts/7983733?q=hololive+-holostars
7998016,General,https://twitter.com/Fianfn1/status/1808410340239237138,['fian_f.n'],"['hololive', 'hololive_english']",['elizabeth_rose_bloodflame'],"['1girl', 'ahoge', 'alternate_hairstyle', 'black_choker', 'blue_fire', 'blue_hair', 'choker', 'cropped_shoulders', 'earrings', 'fire', 'jewelry', 'light_smile', 'long_hair', 'looking_at_viewer', 'looking_down', 'multicolored_hair', 'multiple_views', 'ponytail', 'red_eyes', 'red_hair', 'short_hair', 'single_earring', 'two-tone_hair', 'virtual_youtuber', 'white_background']",[],https://danbooru.donmai.us/posts/7998016?q=hololive+-holostars
7983235,Sensitive,https://twitter.com/h4kuuua_0/status/1822388726150107338,['h4kuuua_0'],"['hololive', 'hololive_english']",['elizabeth_rose_bloodflame'],"['1girl', 'ahoge', 'arms_up', 'blue_fire', 'breasts', 'cleavage', 'dress', 'fire', 'huge_ahoge', 'large_breasts', 'long_hair', 'looking_at_viewer', 'open_mouth', 'red_eyes', 'red_hair', 'see-through', 'see-through_cleavage', 'smile', 'solo', 'very_long_hair', 'virtual_youtuber', 'white_dress']","['highres', 'absurdres']",https://danbooru.donmai.us/posts/7983235?q=hololive+-holostars
7986580,Explicit,https://twitter.com/Myth1cArts/status/1822649183129772113,['myth1carts'],"['hololive', 'hololive_english']",['elizabeth_rose_bloodflame'],"['1girl', 'abs', 'after_sex', 'after_vaginal', 'ahoge', 'blue_fire', 'blue_hair', 'blush', 'breasts', 'censored', 'colored_inner_hair', 'cum', 'cum_in_pussy', 'cum_on_body', 'cum_overflow', 'cumdrip', 'cup', 'english_text', 'female_pubic_hair', 'fire', 'hand_on_own_chest', 'heart', 'heart-shaped_pupils', 'heavy_breathing', 'huge_ahoge', 'large_breasts', 'long_hair', 'looking_at_viewer', 'mosaic_censoring', 'mug', 'multicolored_hair', 'muscular', 'muscular_female', 'nipples', 'nude', 'pubic_hair', 'pussy', 'red_eyes', 'red_hair', 'smile', 'solo', 'symbol-shaped_pupils', 'very_long_hair', 'virtual_youtuber']",['highres'],https://danbooru.donmai.us/posts/7986580?q=hololive+-holostars
